custo_medio_venda;faturamento_margem_lucro_liquido;percentual;preco_medio_venda;vei_peso_liquido;vei_produto_codigo_interno;vei_produto_nome;vei_produto_sku;vei_produto_unidade;vei_quantidade;vei_valor_total
6,96;43,534;0,09;9,99;0;12186;PRESUNTO COZIDO FATIADO SADIA 180GR;;UN;10;99,9
4,79;4,175;0,09;4,99;0;5000;LEITE PIRACANJUBA SEMIDESNATADO 1L;;UN;20;99,8
3,29;36,778;0,09;4,5;0;17319;CRYSTAL FORTY UVA 2L;;UN;22;99
7,03;56,33;0,09;10,99;0;5090;BATATA PALHA SULLPER TRADICIONAL 200G;;UN;9;98,91
7,32;22,814;0,09;8,99;0;17729;FEIJAO CARIOCA CRISTAL 1kg;;UN;11;98,89
5,735;43,679;0,09;8,24;0;8423;BISCOITO BAUDUCCO CHOCO BISCUIT MEIO AMARGO 80G;;UN;12;98,88
1;130;0,08;2,3;0;4813;COCA COLA MINI pet 200ml;;UN;46;97,47
22,33;45,499;0,08;32,49;0;13604;BARRA DE CHOCOLATE CONFEITEIRO HARALD AO LEITE 1.010KG;;UN;3;96,12
2,5;60;0,08;4;0;18279;RUPPERS PURURUCA TRADICIONAL 70g;;UN;24;96
15;60;0,08;24;0;26253235562;NECTAR SORVETE POTE  1,5lts  - SABORES VARIADOS;;UN;4;96
14,75;62,712;0,08;24;0;15698;SUCO DE UVA INTEGRAL AURORA 1,5lt;;UN;4;96
13,5;18,444;0,08;15,99;0;5153;ARROZ SAFRA 5KG  CRISTAL;;UN;6;95,94
7,9;51,772;0,08;11,99;0;6908;BATATA RUFFLES CEBOLA E SALSA 76G;;UN;8;95,92
5,28;51,326;0,08;7,99;0;78983621;ELEFANTE EXTRATO DE TOMATE 300g;;UN;12;95,88
14,12;34,49;0,08;18,99;0;9533;REPELENTE OFF FAMILY SPRAY 100ML;;UN;5;94,95
3,48;29,023;0,08;4,49;0;2650;LEITE CONDENSADO PIRACANJUBA 270G;;UN;21;94,29
4,17;31,894;0,08;5,5;0;4874;CERVEJA CARACU FORTE ESCURA 350ML;;UN;17;93,5
1,375;50,267;0,08;2,067;0;7586;ROSQUINHA RECHEADA CHOCOLATE RANCHEIRO 90G;;UN;45;93
9,99;16,266;0,08;11,615;0;7278;LAVA ROUPAS EM PO FLORAL GEO 1,6KG;;UN;8;92,92
30,5;50,787;0,08;45,99;0;15392;HAVAIANAS BRASIL PRETO 37/38;;UN;2;91,98
30,483;50,869;0,08;45,99;0;3044;HAVAIANAS BRASIL PRETO FC 41/42;;UN;2;91,98
8,46;53,546;0,08;12,99;0;483431896;SALSICHA HOT DOG PERDIGAO 500G;;UN;7;90,93
34;32,353;0,08;45;0;2666;LEITE EM PO PIRACANJUBA INTEGRAL 1KG;;UN;2;90
2,99;67,224;0,08;5;0;9338;MASSA PARA PASTEL 200g;;UN;18;90
5,43;38,122;0,08;7,5;0;4263;MACARRAO SEMOLA CRISTAL ESPAGUETE 8 1KG;;UN;12;90
5,15;45,631;0,08;7,5;0;19814;BATATA CHIPS LISA RUSTICA KETCHUP 80G;;UN;12;90
0,6;66,694;0,08;1;0;483431811;DOCE DE LEITE OLIVEIRA XUP LEITE 20G;;UN;90;90
62,99;42,864;0,08;89,99;0;10519;ESPUMANTE CHANDON RICHE DEMI SECO 750ML;;UN;1;89,99
20,193;48,514;0,08;29,99;0;6188;MANTEIGA COM SAL PIRACANJUBA 500G;;UN;3;89,97
5,9;52,373;0,08;8,99;0;26253235889;Silght batata palha tradicional 100g;;UN;10;89,9
3,2;56,25;0,08;5;0;3023;RUPPAO CHURRASCO 140g;;UN;18;89,59
13;69,154;0,08;21,99;0;16237;NESCAU CEREAL CHCOCOLATE 77Og;;UN;4;87,96
4,79;66,806;0,08;7,99;0;12970;PAO DE FORMA TRADICIONAL VISCONTI 400G;;UN;11;87,89
5,12;56,055;0,08;7,99;0;19547;RAÇÃO ENERGY DOG RAÇAS MEDIAS 1KG;;UN;11;87,89
0;0;0,08;17,49;0;15267;ENERGETICO RED BULL 355ml;;UN;5;87,45
14,52;20,455;0,08;17,49;0;8677;CAFE 3 CORAÇOES TRADICIONAL 250G;;UN;5;87,45
8,03;55,542;0,08;12,49;0;651;SABAO EM BARRA YPE NEUTRO COM GLICERINA 5UN DE 200G;;UN;7;87,43
1,395;45,417;0,08;2,029;0;11846;BISCOITO WAFER RANCHEIRO BAUNILHA 78G;;UN;43;87,25
30,06;44,711;0,08;43,5;0;26253235923;SAND HAV FEM SLIM L ROSA CHIFFON 37/8 UN/0001/UN;474023;UN;2;87
10,22;41,781;0,08;14,49;0;3993;KETCHUP HEINZ 397G;;UN;6;86,94
8,37;49,223;0,08;12,49;0;14307;SABAO EM PO TIXAN YPE PRIMAVERA 800g;;UN;7;86,65
1,16;43,103;0,08;1,66;0;16625;SUCO NUTRI NECTAR MANGA 200ML;;UN;52;86,32
28,5;50,842;0,07;42,99;0;26253235920;SAND HAV FEM SLIM ORGANIC RS GOLD 35/6 UN/0001/UN;471097;UN;2;85,98
6,79;39,764;0,07;9,49;0;2958;CHOCOLATE LACTA DIAMANTE NEGRO 80g;;UN;9;85,41
2,89;55,363;0,07;4,49;0;9831;PANO DE PRATO LIMPA LAR;;UN;19;85,31
3,2;56,25;0,07;5;0;16676;RUPPAO QUEIJO 140G;;UN;17;85
3,2;56,25;0,07;5;0;16674;RUPPAO GALINHA 140G;;UN;17;85
6,433;32,141;0,07;8,5;0;483431805;NECTAR SORVETE CONE ;;UN;10;85
28;51,75;0,07;42,49;0;26253235790;VINHO DIABLO DARK RED 750ML;12383376;UN;2;84,98
28;51,75;0,07;42,49;0;26253235789;VINHO DIABLO BLACK CABERNET SAUVIGNON 750ML;12383377;UN;2;84,98
16,45;71,368;0,07;28,19;0;2354;CHOCOLATE EM PO NESTLE 50 CACAU 200G;;UN;3;84,57
2,5;60;0,07;4;0;8539;GUARANA ANTARCTICA ZERO 350ml - unidade;;UN;21;84
3,19;25,392;0,07;4;0;8305;CERVEJA BUDWEISER LATA 269ML 1UN;;UN;21;84
1,73;102,312;0,07;3,5;0;26253235679;FLOCOS DE MILHO GUNE COLORIDO 70G;;UN;24;84
9,95;40,603;0,07;13,99;0;78983800;MAIONESE SACHE 7G CAIXA 144UN -FUGINI;;UN;6;83,94
9,68;23,864;0,07;11,99;0;10058;COXINHA DA ASA MARINADA JAGUA 800g;;UN;7;83,93
2,69;48,327;0,07;3,99;0;2923;CHOCOLATE NESTLE KITKAT DARK 41/5G;;UN;21;83,79
5,19;60,694;0,07;8,34;0;15508;BISCOITO MABEL ROSCA COCO 600G;;UN;10;83,4
9,49;46,47;0,07;13,9;0;26253235910;PAO DE ALHO BAG CARNE SECA 350G RAMOS;1312;UN;6;83,4
8,73;37,342;0,07;11,99;0;2967;NUTELLA FERRERO CREME DE AVELA  140G;;UN;7;82,9
2,112;71,361;0,07;3,619;0;4847;GATORADE ZERO LARANJA E LIMA 350ML ;;UN;23;82,76
3,84;42,969;0,07;5,49;0;11331;SUCO NUTRI NECTAR GOIABA 1L;;UN;15;82,35
4,58;37,504;0,07;6,298;0;4830;GATORADE LIMAO 500ML;;UN;13;81,87
9,62;20,478;0,07;11,59;0;10800;OLEO DE GIRASSOL CRISTAL 900ML;;UN;7;81,13
19,14;41,014;0,07;26,99;0;793;RODO DUPLO CONDOR 60 CM;;UN;3;80,97
1,8;66,111;0,07;2,99;0;4868;AGUA DE COCO DUCOCO 200ML;;UN;27;80,73
1,23;36,455;0,07;1,678;0;612;LAVA LOUÇAS OESTE NEUTRO 500ML;;UN;50;80,69
27,13;47,401;0,07;39,99;0;26253235700;SAND HAV FEM SLIM L PESSEGO 35/6 UN/0001/UN;471067;UN;2;79,98
27,01;48,056;0,07;39,99;0;26253235932;SAND HAV FEM SLIM L AREIA DOURADO 37/8 UN/0001/UN;443069;UN;2;79,98
26,725;49,635;0,07;39,99;0;19449;HAVAIANA ALOHA MASCULINA 39/40;;UN;2;79,98
14,298;39,807;0,07;19,99;0;686;HAVAIANAS COLOR PRETA 41/42;;UN;4;79,96
14,74;35,617;0,07;19,99;0;7447;SUCO PLENNO MAÇA E UVA INTEGRAL 1,5LTS;;UN;4;79,96
17,9;11,676;0,07;19,99;0;2968;NUTELLA 350G;;UN;4;79,96
20,93;-4,491;0,07;19,99;0;26253235542;SANDALIA IPANEMA GASPEA ROSA FEM;;UN;4;79,96
13,01;53,651;0,07;19,99;0;704;HAVAIANAS COLOR AZUL NAVAL 43/44;;UN;4;79,96
11,456;39,578;0,07;15,99;0;12951;AGUA DE COCO INTEGRAL CAMPO LARGO 900ml;;UN;5;79,95
1,89;76,19;0,07;3,33;0;1965;COOKIES BAUDUCCO ORIGINAL 60G;;UN;24;79,92
5,62;42,171;0,07;7,99;0;19592;ALCOOL ITAJA 92,8° 1L;;UN;10;79,9
2,69;41,317;0,07;3,801;0;2925;CHOCOLATE NESTLE KITKAT WHITE 41/5G;;UN;21;79,83
7,03;40,825;0,07;9,9;0;17378;CHOCOLATE NESTLE CHOCO TRIO 90g;;UN;8;79,2
0,4;150;0,07;1;0;12107;GELADINHO AMERICANO UNIDADE;;UN;79;79
6,99;24,464;0,07;8,7;0;12014;PAO BISNAGUINHA TRADICIONAL BAUDUCCO 260g;;UN;9;78,3
4,24;41,509;0,07;6;0;4825;CERVEJA BUDWEISER LONG NECK 330ml;;UN;13;78
29;34,448;0,07;38,99;0;10064;CAFE 3 CORAÇOES EXTRAFORTE 500G;;UN;2;77,98
4,268;52,08;0,07;6,49;0;24242556;AMACIANTE DE ROUPAS OESTE ORIGINAL 2L;;UN;12;77,47
2,32;50,862;0,07;3,5;0;2929;CHOCOLATE NESTLE CHOKITO 32g;;UN;22;77
2,465;41,608;0,07;3,49;0;4123;MACARRAO CRISTAL SEMOLA PARAFUSO 500G;;UN;22;76,78
5,99;41,736;0,07;8,49;0;19659;CAFE SOLUVEL RANCHEIRO LIOFILIZADO 40G;;UN;9;76,41
0,98;69,388;0,07;1,66;0;19242;SUCO NUTRINECTAR MARACUJA 200ML;;UN;46;76,36
19,66;93,286;0,07;38;0;4688;VINHO RESERVADO MERLOT CABERNET SAUVIGNON 750ML;;UN;2;76
24,63;54,243;0,07;37,99;0;9080;ACHOCOLATADO NESCAU 2KG;;UN;2;75,98
10,9;74,22;0,07;18,99;0;13875;CABO PRATICELL TIPO C;;UN;4;75,96
6,84;58,584;0,07;10,847;0;26253235496;BACON EM CUBOS SAUDALI 200g;;UN;7;75,93
6,69;41,854;0,07;9,49;0;2999;CHOCOLATE LACTA LAKA OREO 80g;;UN;8;75,92
2,61;52,874;0,07;3,99;0;18937;FANDANGOS PRESUNTO 35G;;UN;19;75,81
1,13;121,239;0,07;2,5;0;8354;PAPEL PARA CIGARROS TREVO COM 50 FOLHAS;;UN;30;75
22,21;12,517;0,07;24,99;0;6275;ARROZ SOL 5KG;;UN;3;74,97
10,9;71,927;0,07;18,74;0;4279;CARREGADOR DE PAREDE PRATICELL;;UN;4;74,96
10,49;42,898;0,07;14,99;0;8319;MANTEIGA PIRACANJUBA COM SAL ZERO LACTOSE 200G;;UN;5;74,95
7,77;37,764;0,07;10,704;0;16597;BISCOITO SABOR CHOCOLATE BAUDUCCO 335G;;UN;7;74,93
5,1;46,863;0,07;7,49;0;26253235434;FINI CHICLE SALADA DE FRUTAS 80 G ;;UN;10;74,9
3,083;73,448;0,07;5,347;0;19811;MORTADELA FATIADA FRICO 180G;;UN;14;74,86
3,39;47,198;0,07;4,99;0;2734;LAVA ROUPAS  EM PO OESTE LAVANDA  1KG;;UN;15;74,85
7,57;41,215;0,07;10,69;0;19490;GOIABADA DEZ 1,01KG;;UN;7;74,83
1,386;44,25;0,06;2;0;2030;BISCOITO WAFER RANCHEIRO MORANGO 78G;;UN;37;74
7,17;46,444;0,06;10,5;0;6810;COPOS DESCARTAVEIS KERO COPO 300ML (100ml);;UN;7;73,5
17,68;38,518;0,06;24,49;0;642;SODA CAUSTICA SOL 1KG;;UN;3;73,47
9,5;52,526;0,06;14,49;0;78983749;PETISQUEIRA MIX DE AMENDOIM AMENDOKERO 280g;;UN;5;72,45
1,89;27,09;0,06;2,402;0;566;LAVA LOUÇAS  YPE MAÇA 500ML;;UN;30;72,06
19;89,474;0,06;36;0;26253235469;GUARANA ANTARCTICA 350ML COM 12UN;;CX;2;72
6,42;40,031;0,06;8,99;0;16444;CHOCOLATE SONHO DE VALSA BARRA 98g;;UN;8;71,92
4,5;33,111;0,06;5,99;0;15074;REFRIGERANTE JAÓ LARANJA 2L;;UN;12;71,88
1,23;21,714;0,06;1,497;0;6544;LAVA LOUÇAS OESTE COCO 500ML;;UN;48;71,86
1,25;51,2;0,06;1,89;0;11949;STEAK EMPANADO SUPER FRANGO;;UN;38;71,82
1,144;74,757;0,06;2;0;3770;MOLHO DE TOMATE FUGINI TRADICIONAL 300G;;UN;36;71,42
3;116,333;0,06;6,49;0;5342;OLEO DE SOJA COMIGO 900ml;;UN;11;71,39
1,4;58,482;0,06;2,219;0;16563;RUPPERS CEBOLA 50G;;UN;32;71
1,4;44,388;0,06;2,021;0;10660;ROSQUINHA RECHEADA RANCHEIRO BAUNILHA 90G;;UN;35;70,75
2,39;84,362;0,06;4,406;0;4781;AGUA TONICA ANTARCTICA 350ml;;UN;16;70,5
15,6;12,179;0,06;17,5;0;19337;COCA COLA ZERO 310mL -FARDINHO 6un;;UN;4;70
24,5;42,857;0,06;35;0;10794;VINHO BRANCO CHILANO CHARDONNAY VINTAGE C750ml;;UN;2;70
49,99;40,008;0,06;69,99;0;9874;OMO LAVANDERIA PROFISSIONAL SACHE 5,6KG;;UN;1;69,99
25;39,96;0,06;34,99;0;7783;CORAÇAO PIF PAF BANDEJA 1KG;;UN;2;69,98
12,33;41,849;0,06;17,49;0;13775;PAPEL HIGIENICO TERNURA FOLHA DUPLA 12 ROLOS;;UN;4;69,96
5,1;37,059;0,06;6,99;0;15584;BALA FINI AMORAS 90g;;UN;10;69,9
4,7;48,723;0,06;6,99;0;1963;COOKIES BAUDUCCO IRRESISTIVEL MAXI COBERTURA CHOCOLATE 96G;;UN;10;69,9
3,08;62,013;0,06;4,99;0;17191;AGUA SANITARIA KI JOIA 2L;;UN;14;69,86
3,4;46,765;0,06;4,99;0;18556;BATATA RUFFLES ORIGINAL 33g;;UN;14;69,86
1;66;0,06;1,66;0;18649;SUCO DE PESSEGO NUTRI NECTAR 200ML;;UN;42;69,72
23,858;44,604;0,06;34,5;0;18739;FERRERO ROCHER COLLECTION 77G 7UN;;CX;2;69
18;27,722;0,06;22,99;0;16704;QUIBE COM CATUPIRY QUASE PRONTO;;UN;3;68,97
4,466;39,943;0,06;6,25;0;483431673;NECTAR PICOLE DE BRIGADEIRO;;UN;11;68,75
1,75;42,857;0,06;2,5;0;26253235934;PINGO BEL DOCE COM LEITE 50g;349;UN;28;68,33
1;66;0,06;1,66;0;11601;SUCO NUTRINECTAR CAJU 200ML;;UN;41;68,06
22,55;50,776;0,06;34;0;11981;ABRIDOR DE VINHO UTEK;;UN;2;68
2,9;46,552;0,06;4,25;0;483431680;NECTAR PICOLE DE AÇAI ;;UN;16;68
12,3;38,13;0,06;16,99;0;1329;CONDICIONADOR SEDA CERAMIDAS 325ML;;UN;4;67,96
5,5;23,455;0,06;6,79;0;14177;SUPLEMENTO PRO FORCE COCO 250ml;L;UN;10;67,9
84,5;-95,278;0,06;3,99;0;6143;MACARRAO CRISTAL FURADINHO 5  500G;;UN;17;67,83
9,5;42,105;0,06;13,5;0;15180;BATATA RUFFLES TUBO 100g;;UN;5;67,5
5,42;38,192;0,06;7,49;0;5018;ARROZ CRISTAL 1KG;;UN;9;67,41
1,252;27,805;0,06;1,6;0;16612;LAVA LOUÇAS KI JOIA clear 500ml;;UN;42;66,7
1,89;76,19;0,06;3,33;0;15317;COOKIES BAUDUCCO CHOCOLATE 60G;;UN;20;66,6
5,62;95,552;0,06;10,99;0;1928;AGUA MINERAL BELA VISTA 5LITROS;;UN;6;65,94
3,89;53,985;0,06;5,99;0;18928;CEBOLITOS ELMA CHIPS 45G;;UN;11;65,89
24,61;38,115;0,06;33,99;0;3307;CHOCOLATE EM BARRA HARALD CONFEITEIRO MEIO AMARGO 1/010KG;;UN;2;65,15
56,12;15,823;0,06;65;0;13099;CERVEJA HEINEKEN ZERO ALCOOL 350ML 12UN;;UN;1;65
8,99;44,494;0,06;12,99;0;19612;CHEETOS ASSADO LUA PARMESAO 95G;;UN;5;64,95
3,37;48,368;0,06;5;0;16521;CERVEJA HEINEKEN LATA 269ML UN;;UN;13;64,82
14,99;50,033;0,06;22,49;0;10817;GOIAS GRANOLA VEGANA NECTAR DE MAÇA 500G;;UN;3;64,61
69;28,986;0,06;89;0;10649;QUEIJO PROVOLONE BOLINHA VALEZA ;;KG;0,75;64,54
42,775;50,789;0,06;64,5;0;26253235929;SAND HAV MASC DUAL PTO CZ 43/4 UN/0001/UN;464340;UN;1;64,5
42,775;50,789;0,06;64,5;0;26253235928;SAND HAV MASC DUAL PTO CZ 39/0 UN/0001/UN;464338;UN;1;64,5
42,775;50,789;0,06;64,5;0;483432092;SAND HAV MASC DUAL BCO 41/2 UN/0001/UN;463387;UN;1;64,5
19,28;11,463;0,06;21,49;0;5152;AÇUCAR CRISTAL 5KG;;UN;3;64,47
22,07;44,993;0,06;32;0;1044;ABSORVENTE ALWAYS SUAVE C/ABAS Gx32un;;UN;2;64
10,99;45,496;0,06;15,99;0;26253235914;SUCO DE PESSEGO/MACA 900ML CAMPO LARGO;1757;UN;4;63,96
5,32;50,188;0,06;7,99;0;5097;PO DESCOLORANTE CARE LISS ARGAN 50g;;UN;8;63,92
6,393;24,99;0,06;7,99;0;14300;SKOL BEATS GT LONG 269ml;;UN;8;63,92
5,32;50,188;0,06;7,99;0;10676;TAÇA VINHO BRANCO NADIR - COPA 260ml;;UN;8;63,92
5,756;56,196;0,05;8,99;0;1828;AMENDOIM DORI PETTIZ ESPECIAL JAPONES 150G;;UN;7;62,93
5,1;37,059;0,05;6,99;0;10734;FINI GELATINAS MINHOCAS AZEDINHAS 80g;;UN;9;62,91
3,2;40,313;0,05;4,49;0;19818;BATATA CHIPS ONDULADA CEBOLA E SALSA 40G;;UN;14;62,86
2,56;36,328;0,05;3,49;0;78983625;MACARRAO SEMOLA CRISTAL PENNE 500g;;UN;18;62,82
2,25;32,889;0,05;2,99;0;1240;ESPONJA DE AÇO BOMBRIL 8UN DE 60G;;UN;21;62,79
2;49,5;0,05;2,99;0;17192;AGUA SANITARIA KI JOIA 1L;;UN;21;62,79
40;56,225;0,05;62,49;0;78983671;AZEITONA S CAROCO BALDE 2KG MUCHO GUSTO;;UN;1;62,49
6;29,167;0,05;7,75;0;483431674;PICOLE  BLACK  NECTAR ;;UN;8;62
1,31;52,637;0,05;2;0;483431784;CREMOSINHO MISTO ;;UN;30;60
3,2;56,25;0,05;5;0;16675;RUPPAO SALGADINHO REQUEIJAO 140G;;UN;12;60
5,04;48,81;0,05;7,5;0;5057;KEEP COOLER CLASSIC PESSEGO 275ML;;UN;8;60
1,541;62,206;0,05;2,5;0;2774;FARINHA DE MILHO FLOCAO BONOMILHO 500G;;UN;24;60
39,23;52,919;0,05;59,99;0;26253235856;SAND HAV UNISSEX TOP DISNEY STL VM 39/0 UN/0001/UN;471686;UN;1;59,99
59,88;0,184;0,05;59,99;0;26253235503;AZEITONA PRETA RILI BALDE 2KG;;UN;1;59,99
42,2;42,156;0,05;59,99;0;5434;BEBIDA APERITIVO DE ERVAS APEROL 750ML;;UN;1;59,99
13,74;45,488;0,05;19,99;0;687;HAVAIANAS COLOR PRETA 35/36;;UN;3;59,97
14,22;40,577;0,05;19,99;0;16943;PIZZA MEDIA QUASE PRONTO FRANGO COM REQUEIJAO 480G;;UN;3;59,97
14,99;33,356;0,05;19,99;0;19484;TIRINHAS DE FRANGO EMPANADA SUPER FRANGO 900g;;UN;3;59,97
85,78;-76,696;0,05;19,99;0;4646; HAVAIANAS  COLOR PRETA 37/38;;UN;3;59,97
13,25;50,868;0,05;19,99;0;3077;ESCOVA DE DENTE ORAL B INDICATOR MACIA/SUAVE 30 2UN;;UN;3;59,97
14,298;39,807;0,05;19,99;0;684;HAVAIANAS COLOR PRETA 39/40;;UN;3;59,97
9,7;54,536;0,05;14,99;0;641;SODA CAUSTICA YARA 950G;;UN;4;59,96
6,49;53,929;0,05;9,99;0;3848;CEREAL SUCRILHOS KELLOGS ORIGINAL 240g;;UN;6;59,94
5,945;25,988;0,05;7,49;0;2807;FARINHA DE MANDIOCA AMAFIL TORRADA 1KG;;UN;8;59,92
2,94;69,728;0,05;4,99;0;202;AGUA SANITARIA QBOA 1L ;;UN;12;59,88
3,49;42,98;0,05;4,99;0;483432058;AGUA SOBORIZADA LA PRIORI FRUTAS VERMELHAS 500ml;;UN;12;59,88
1,82;64,286;0,05;2,99;0;19831;GUARDANAPO SORELLA 30X30,5;;UN;20;59,8
4,82;76,349;0,05;8,5;0;1679;ABSORVENTES INTIMUS NOTURNO COM ABAS COBERTURA SUAVE 8UN;;UN;7;59,5
2,52;38,492;0,05;3,49;0;4111;MACARRAO CRISTAL SEMOLA ESPAGUETE 8 500G;;UN;17;59,33
2,18;60,092;0,05;3,49;0;1970;BISCOITO WAFER TODDY CHOCOLATE TRUFADO 94g;;UN;17;59,33
5,88;42,687;0,05;8,39;0;2258;PILHA EVEREADY GOLD ALCALINA AA2 2UN;;UN;7;58,73
15,9;22,579;0,05;19,49;0;2435;FERMENTO BIOLOGICO FLEISCHMANN 500G;;UN;3;58,47
19,22;201,717;0,05;57,99;0;5239;CERVEJA BUDWEISER LATA 269ml - CAIXA 15un;;UN;1;57,99
20,26;43,09;0,05;28,99;0;11503;PAPEL HIGIENICO COTTON 16 UN FOLHA DUPLA;;UN;2;57,98
11,89;21,867;0,05;14,49;0;7354;MAIONESE HEINZ 390G;;UN;4;57,96
7,197;34,182;0,05;9,657;0;4994;AÇUCAR CRISTAL 2KG;;UN;6;57,94
1,248;26,369;0,05;1,578;0;16611;LAVA LOUÇAS KI JOIA maça 500ml;;UN;37;57,71
1,16;115,517;0,05;2,5;0;2436;FERMENTO BIOLOGICO FLEISCHMANN 10G;;UN;23;57,5
7,1;61,831;0,05;11,49;0;19827;PAPEL HIGIENICO FOFINHO NEUTRO 12 ROLOS;;UN;5;57,45
8,04;42,91;0,05;11,49;0;12342342;AMACIANTE YPE INTENSO 2L;;UN;5;57,45
7,31;57,182;0,05;11,49;0;1471;AMACIANTE YPE ACONCHEGO 2L;;UN;5;57,45
6;58,167;0,05;9,49;0;26253235723;QUEIJO PARMESAO PIRACANJUBA RALADO 100G;4168;UN;6;56,94
1,89;25,397;0,05;2,37;0;1882;LAVA LOUÇAS YPE NEUTRO 500ML;;UN;24;56,88
1,4;66,667;0,05;2,333;0;14833;RUPPERS SALGADINHO GALINHA 50G;;UN;24;56
2,32;50,862;0,05;3,5;0;2928;CHOCOLATE NESTLE PRESTIGIO 33G;;UN;16;56
2,5;60;0,05;4;0;16680;RUPPERS PURURUCA PIMENTA MEXICANA 70G;;UN;14;56
19,99;40,02;0,05;27,99;0;16321;FRALDA DESCARTAVEL PANDA MEGA XXG 26FR;;UN;2;55,98
19,99;40,02;0,05;27,99;0;9803;FRALDA DESCARTAVEL PANDA MEGA G 34FR;;UN;2;55,98
9,69;44,376;0,05;13,99;0;10825;TEMPERO EM PASTA ALHO E SAL GOIAS 800g;;UN;4;55,96
5,88;35,884;0,05;7,99;0;19548;RAÇÃO ENERGY DOG PREMIUM MIX FILHOTE 1KG;;UN;7;55,93
5,22;33,908;0,05;6,99;0;3889;SARDINHA GOMES DA COSTA COM MOLHO DE TOMATE 125G;;UN;8;55,92
13,01;42,89;0,05;18,59;0;5694;VASSOURA DE PELO SINTETICO NOVIÇA;;UN;3;55,77
12,94;42,89;0,05;18,49;0;314;RAID JOHNSON MULTI INSETOS SEM CHEIRO 420ml;;UN;3;55,47
13,6;35,956;0,05;18,49;0;2662;LEITE EM PO PIRACANJUBA DESNATADO 400g;;UN;3;55,47
3,03;51,485;0,05;4,59;0;5966;CREME DENTAL TRIPLA ACAO COLGATE 90G;;UN;12;55,08
1,5;66,667;0,05;2,5;0;18568;AMENDOIM CARAMELIZADO AMENDOKERO 50g;;UN;22;55
7,89;39,29;0,05;10,99;0;10910;BATATA RUFFLES ORIGINAL 68g;;UN;5;54,95
2,7;84,815;0,05;4,99;0;17385;AZEITONAS VERDES FATIADAS MUCHO GUSTO 250 G;;UN;11;54,89
3,08;62,013;0,05;4,99;0;19537;AGUA SABORIZADA LA PRIORI  TANGERINA ZERO 500ml;;UN;11;54,89
2,21;44,796;0,05;3,2;0;10219;BISCOITO RECHEADO BAUDUCCO DUPLO CHOCOLATE 140G;;UN;17;54,4
36,58;47,622;0,05;54;0;26253235866;SAND HAV FEM SLIM SQUARE LOG P RS 39/0 UN/0001/UN;471152;UN;1;54
9,89;36,502;0,05;13,5;0;19348;LEITE FERMENTADO YAKULT 6UND;;UN;4;54
1,26;94,004;0,05;2,444;0;16922;AGUA MINERAL MARIZA 1,5L;;UN;27;54
36,5;47,918;0,05;53,99;0;2944;BOMBOM SONHO DE VALSA 20g - PACOTE 1kg;;UN;1;53,99
1,16;43,103;0,05;1,66;0;11603;SUCO GOIABA NUTRI NECTAR 200ML;;UN;32;53,12
3,67;60,763;0,05;5,9;0;5398;ABSORVENTE INTIMUS COM ABAS COBERTURA EXTRA SUAVE;;UN;9;53,1
9,13;45,126;0,05;13,25;0;19832;PAPEL TOALHA SORELLA UNI 3 ROLOS 1UN;;UN;4;53
0,44;127,273;0,05;1;0;3024;BOMBOM SERENATA DE AMOR 17,6g - UNITARIO;;UN;53;53
2,551;29,691;0,05;3,309;0;2175;BISCOITO NESTLE PASSATEMPO MORANGO 130G;;UN;16;52,94
4,83;36,957;0,05;6,615;0;19318;GATORADE BERRY BLUE 500ML;;UN;8;52,92
3,27;61,774;0,05;5,29;0;133;ESPONJA CONDOR MULTIUSO 4un;;UN;10;52,86
1,8;94,444;0,05;3,5;0;26253235459;NECTAR PICOLE DE UVA;;UN;15;52,5
1,75;42,857;0,05;2,5;0;9182;TRINDENT MELANCIA 8G;;UN;21;52,5
6,91;51,954;0,05;10,5;0;3645;MOLHO BARBECUE GOIAS 270ml;;UN;5;52,5
4,42;69,457;0,05;7,49;0;70;SABAO EM PO TIXAN YPE PRIMAVERA 400g;;UN;7;52,43
5,1;46,863;0,05;7,49;0;14610;FINI CHICLE MELANCIA 80g;;UN;7;52,43
17,9;45,196;0,05;25,99;0;78983638;FACA INOX N. 8 - TEXAS;;UN;2;51,98
9,36;38,782;0,05;12,99;0;3821;MAIONESE HELLMANNS 500G;;UN;4;51,96
9;44,333;0,05;12,99;0;7715;MANTEIGA COM SAL PIRACANJUBA 200G;;UN;4;51,96
8,62;50,696;0,05;12,99;0;11996;LINGUIÇA CALABRESA SADIA 400g;;UN;4;51,96
3,5;85,429;0,05;6,49;0;15975;RAÇAO BOMGUY ADULTO CARNE E FIGADO 280G;;UN;8;51,92
1,91;23,513;0,05;2,359;0;567;LAVA LOUÇAS YPE LIMAO 500ML;;UN;22;51,9
4,32;50,231;0,05;6,49;0;4487;COPO DESCARTAVEL VEROCOPO 200ml ;;UN;8;51,85
0,98;69,388;0,04;1,66;0;16627;SUCO NUTRI NECTAR MORANGO 200ML;;UN;31;51,46
1,4;67,208;0,04;2,341;0;2228;RUPPERS SALGADINHO BACON 45g;;UN;22;51,2
5,42;56,642;0,04;8,49;0;19326;BALAS MASTIGAVEIS FLORESTAL DOCES EMOÇOES 500G;;UN;6;50,94
5,17;64,217;0,04;8,49;0;4931;COPO DESCARTAVEL COPOZAN PP 330ML 50UN;;UN;6;50,94
