custo_medio_venda;faturamento_margem_lucro_liquido;percentual;preco_medio_venda;vei_peso_liquido;vei_produto_codigo_interno;vei_produto_nome;vei_produto_sku;vei_produto_unidade;vei_quantidade;vei_valor_total
2,99;67,224;0,28;5;0;18533;CERVEJA AMSTEL LAGER  350ml - UNITARIA;;UN;66;321,74
11,9;34,37;0,28;15,99;0;18929;DORITOS QUEIJO NACHO 120G;;UN;20;319,8
4,79;56,367;0,27;7,49;0;16590;DOLCE SUSPIRO ARTESANAL 200G;;UN;42;314,58
5,92;26,52;0,27;7,49;0;17093;GUARANA ANTARCTICA 1LT PACK 2un;;UN;42;314,58
16,99;41,201;0,27;23,99;0;26253235594;MILHO SACHE FUGINI FOODS 1,7kg;;UN;13;311,87
2,8;42,857;0,27;4;0;9523;COCA COLA LATA ZERO 310ml UNITARIA;;UN;77;308
2,99;33,779;0,27;4;0;8339;CERVEJA ANTARCTICA LATA 350ml - UNITARIA;;UN;77;308
5,99;41,736;0,27;8,49;0;8671;CERVEJA CORONA EXTRA 330ML UN;;UN;36;305,64
13,99;42,888;0,26;19,99;0;26253235815;FILE DE POLACA DO ALASCA SEM PELE;;UN;15;299,85
13;40,094;0,26;18,212;0;8931;LAVA ROUPAS EM PO  BRILHANTE HIGIENE TOTAL 1,6kg;;UN;18;297,84
23,13;25,335;0,25;28,99;0;26253235739;BATATA BEM BRASIL MAIS BATATA 2kg;4343;UN;10;289,9
15,82;13,717;0,25;17,99;0;2682;CAFE DO CE 250G;;UN;16;287,84
8,99;44,494;0,25;12,99;0;11271;CHEETOS ONDA REQUEIJAO 105G;;UN;22;285,65
46,61;0,815;0,25;46,99;0;11267;CERVEJA ORIGINAL  ANTARCTICA 350ml - CAIXA 12un;;UN;6;281,94
44,97;55,637;0,24;69,99;0;19631;BB BITTER CAMPARI MILANO 998ml;;UN;4;279,96
15,63;37,492;0,24;21,49;0;8261;BATATA CONGELADA MAIS BATATA BEM BRASIL 1KG;;UN;13;279,37
13,6;35,956;0,24;18,49;0;2663;LEITE EM PO PIRACANJUBA INTEGRAL 400G;;UN;15;277,35
20,43;46,843;0,23;30;0;11892;SALSICHA RESFRIADA HOT DOG BOUA 3kg;;PT;9;270
4,2;42,857;0,23;6;0;6935;CERVEJA HEINEKEN LATA  350ML UND;;UN;44;264
3,5;42,857;0,23;5;0;12054;CERVEJA ORIGINAL ANTARCTICA 269ml - UNITARIA;;UN;52;259,85
30,99;19,361;0,23;36,99;0;2966;NUTELLA FERRERO CREME DE AVELA COM CACAU 650G;;UN;7;258,93
25,75;24,233;0,22;31,99;0;17766;CERVEJA HEINEKEN 269ML 8UND;;UN;8;255,92
4,99;50,301;0,22;7,5;0;5948;PRINGLES ORIGINAL 149G;;UN;34;255
